시설물명,위도,경도,과속방지턱,도로적색표면,무단횡단방지펜스,보호구역표지판,신호등,옐로카펫,횡단보도,보호구역 도로폭,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,행정동,총인구수,0~4세,5~9세,10~14세,어린이인구_0_14,어린이비율,도로안전표지,생활안전CCTV,무인교통단속카메라,시설유형,구
빛가온초등학교,37.413689906,126.882025537,10,13,19,0,47,1,30,12,0,0,0,0,0,0,일직동,21148.0,851.0,979.0,1264.0,3094.0,14.630225080385854,0,0,0,초등학교,광명시
빛가온유치원,37.416952326,126.888264888,1,4,12,0,35,0,10,14,0,0,0,0,0,0,일직동,21148.0,851.0,979.0,1264.0,3094.0,14.630225080385854,0,0,0,유치원,광명시
광명생명숲어린이집,37.432308566,126.877817192,2,0,0,0,11,0,6,20,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,어린이집,광명시
큰별어린이집,37.436146295,126.877327277,2,3,9,0,7,0,1,10,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,어린이집,광명시
충현초등학교,37.432490073,126.884626583,7,7,0,0,30,1,14,19,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,초등학교,광명시
트인아이유치원,37.434968089,126.886029485,7,3,0,0,11,1,10,11,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,유치원,광명시
아란유치원,37.437261872,126.879689153,6,4,11,0,12,1,3,7,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,유치원,광명시
서면초등학교,37.43866026,126.879510582,4,4,11,0,12,1,3,7,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,초등학교,광명시
광명푸른숲어린이집,37.477792276,126.850856427,9,5,0,0,8,0,2,5,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,어린이집,광명시
예림유치원,37.468769887,126.852729513,14,6,5,0,12,4,11,19,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,유치원,광명시
예크어린이집,37.469854145,126.855135297,5,1,0,0,7,3,4,21,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,어린이집,광명시
엄지창의어린이집,37.475694904,126.849686489,9,4,0,0,2,0,2,6,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,어린이집,광명시
녹야유치원,37.47927063,126.857818996,8,3,3,0,0,0,8,6,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,유치원,광명시
광명초등학교,37.480582748,126.858215136,8,3,3,0,0,0,8,7,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,초등학교,광명시
광명남초등학교,37.476246648,126.852962238,5,5,1,0,8,0,2,24,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,초등학교,광명시
광명서초등학교,37.477852489,126.847357982,12,4,4,0,0,2,4,11,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,초등학교,광명시
광문초등학교,37.467074602,126.851639329,11,7,5,0,9,1,10,10,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,초등학교,광명시
광일초등학교,37.471016793,126.847024959,20,4,16,0,10,0,11,9,0,0,0,0,0,0,광명동,81129.0,2485.0,2341.0,2891.0,7717.0,9.512011734398303,0,0,0,초등학교,광명시
세교유치원,37.42002424,126.848711399,0,0,0,0,0,0,0,3,0,0,0,0,0,0,가학동,,,,,,,0,0,0,유치원,광명시
온신초등학교,37.442701862,126.84573469,9,3,6,0,0,0,4,9,0,0,0,0,0,0,노온사동,,,,,,,0,0,0,초등학교,광명시
안서초등학교,37.402053882,126.871781379,4,5,2,0,4,0,2,9,0,0,0,0,0,0,가학동,,,,,,,0,0,0,초등학교,광명시
산들유치원,37.454875307,126.860017887,4,0,0,0,0,0,1,4,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
